City,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age
Woodburn,Partial College,Manual,M,M,1,1,1,2,31217,56
London,Bachelors,Skilled Manual,F,M,1,1,1,1,53246,40
Hawthorne,Partial College,Management,F,M,1,2,1,2,108919,43
London,Partial High School,Skilled Manual,M,S,0,1,0,0,57874,33
San Diego,Partial College,Clerical,M,S,0,1,0,0,80104,26
Hobart,Bachelors,Professional,M,M,1,2,0,0,130065,38
Chula Vista,Bachelors,Skilled Manual,F,M,1,2,2,2,55432,62
Cliffside,Graduate Degree,Professional,M,M,1,2,0,2,132916,45
Coronado,Bachelors,Clerical,M,S,0,2,0,0,87708,41
Long Beach,Graduate Degree,Clerical,M,M,0,0,0,0,80698,32
Gateshead,Bachelors,Professional,M,M,1,2,0,0,132354,31
Saarlouis,Graduate Degree,Manual,M,M,1,1,1,2,34603,60
Beaverton,High School,Skilled Manual,F,S,1,0,0,0,57730,51
Melbourne,Bachelors,Manual,M,S,0,1,0,0,28002,30
Tremblay-en-France,Graduate Degree,Professional,M,M,1,2,0,2,135609,37
Warrnambool,Bachelors,Skilled Manual,M,M,0,2,0,0,51600,30
Bremerton,Partial College,Clerical,M,M,0,2,0,0,81552,29
North Sydney,Bachelors,Manual,F,S,0,1,0,0,29769,40
Melton,Bachelors,Skilled Manual,M,M,1,2,1,2,62043,39
Paderborn,Partial College,Clerical,M,M,1,2,1,1,84193,49
Coronado,Graduate Degree,Clerical,M,M,1,3,1,2,80595,68
Gold Coast,Partial College,Manual,M,M,1,1,2,2,28029,44
Bellflower,High School,Manual,M,M,1,1,2,2,28263,43
North Sydney,Graduate Degree,Professional,F,M,1,1,1,2,135416,36
Saint Germain en Laye,High School,Clerical,F,S,0,2,0,0,80138,34
Corvallis,Bachelors,Manual,F,S,0,1,0,0,30478,41
Newton,Partial High School,Skilled Manual,M,M,1,1,0,2,59478,56
Fremont,Graduate Degree,Clerical,F,M,1,3,1,2,84892,35
Newport Beach,Partial College,Management,F,M,1,1,0,2,105877,45
Victoria,Bachelors,Skilled Manual,M,M,1,2,0,1,52159,39
Warrington,Graduate Degree,Management,F,M,1,2,0,2,105121,43
Seaford,Partial College,Management,M,S,1,3,0,0,107960,51
Sydney,Partial College,Skilled Manual,F,M,1,2,1,2,52019,44
Darmstadt,Partial College,Clerical,M,S,0,2,0,0,85925,41
London,High School,Skilled Manual,M,S,0,0,0,0,54096,34
Colma,Bachelors,Manual,M,M,0,0,1,2,27731,34
Glendale,Graduate Degree,Clerical,M,M,1,0,1,2,77217,36
La Jolla,Bachelors,Management,M,M,1,1,1,1,106022,40
Paris,Partial College,Management,M,S,1,2,0,1,103279,64
Billericay,Graduate Degree,Manual,M,S,0,0,0,0,35287,43
Cambridge,Partial College,Skilled Manual,F,M,1,1,1,2,53847,53
Bellflower,Partial College,Manual,F,S,0,1,0,0,31388,28
Hobart,Partial College,Management,M,M,1,2,1,2,110288,68
Findon,Partial College,Manual,M,M,1,0,0,1,32309,51
Cranbourne,Bachelors,Clerical,F,S,0,1,0,0,81345,39
Oak Bay,High School,Clerical,M,M,1,2,1,2,84225,54
Coronado,Partial College,Skilled Manual,M,S,0,1,0,0,54513,31
Beaverton,Bachelors,Management,M,M,1,2,0,2,102372,41
Shawnee,High School,Skilled Manual,F,M,0,1,0,0,51954,25
Kirkland,High School,Clerical,M,S,1,2,1,1,81954,60
Oak Bay,Bachelors,Clerical,M,M,1,0,1,2,84953,37
Frankfurt,High School,Skilled Manual,F,S,1,1,0,0,53729,49
Bremerton,Partial College,Skilled Manual,M,M,1,1,1,1,52161,49
Ballard,High School,Skilled Manual,M,S,0,2,0,0,58612,25
San Diego,Graduate Degree,Professional,M,M,1,3,0,2,128553,67
Port Orchard,High School,Clerical,M,S,0,1,0,0,84910,27
San Diego,Bachelors,Management,M,S,1,0,0,0,107643,54
Caloundra,Bachelors,Clerical,F,S,0,2,0,0,79651,40
Corvallis,High School,Manual,F,S,0,0,0,0,29558,31
Burlingame,Partial College,Skilled Manual,M,S,1,2,0,0,53885,55
Los Angeles,Partial College,Clerical,F,S,0,1,0,0,83212,30
Paris,Partial College,Clerical,F,S,0,3,0,0,86234,30
National City,Partial College,Clerical,F,M,1,1,1,2,77961,49
Burlingame,Bachelors,Professional,F,S,1,3,0,0,136509,41
Cranbourne,Bachelors,Professional,M,S,1,2,0,0,128074,42
Bobigny,Partial College,Clerical,M,S,1,1,0,0,79469,48
Cliffside,Graduate Degree,Clerical,F,M,1,2,1,1,84782,33
Berkeley,Bachelors,Clerical,F,M,1,1,1,2,78691,35
Burlingame,Graduate Degree,Management,M,S,1,3,1,1,109557,67
Langford,Partial College,Clerical,M,S,0,0,0,0,86446,26
Cloverdale,Bachelors,Clerical,F,S,0,1,0,0,82059,37
Vancouver,Graduate Degree,Management,F,S,1,0,0,0,111614,46
Corvallis,High School,Skilled Manual,M,M,1,0,1,2,58619,61
Darmstadt,High School,Manual,M,S,0,0,0,0,32126,32
Langley,Partial High School,Manual,M,M,1,0,1,2,27227,47
Lemon Grove,Bachelors,Management,M,S,1,2,0,0,108625,41
Beaverton,Graduate Degree,Clerical,F,S,0,2,0,0,83558,38
Berlin,Graduate Degree,Professional,M,M,1,3,1,2,135778,47
Port Orchard,Graduate Degree,Professional,F,M,1,3,0,0,137880,36
Hawthorne,Partial College,Skilled Manual,M,S,1,1,0,0,52520,48
Berkeley,Bachelors,Skilled Manual,F,S,0,1,0,0,58557,39
Rockhampton,Bachelors,Clerical,F,M,1,1,0,1,81936,40
Chula Vista,Graduate Degree,Skilled Manual,F,M,0,1,1,1,52703,36
Westminster,High School,Clerical,F,S,0,2,0,0,82687,30
Colombes,Partial College,Skilled Manual,M,S,0,1,0,0,57083,42
Pantin,Partial College,Manual,M,S,0,1,0,0,27290,41
Langley,Graduate Degree,Professional,F,S,1,2,0,1,138250,67
Port Hammond,High School,Skilled Manual,F,M,1,1,1,2,52778,57
Esher-Molesey,Bachelors,Professional,M,S,1,2,0,0,134224,37
Melbourne,Bachelors,Manual,M,M,1,1,2,2,30344,54
Westminster,Bachelors,Clerical,F,S,1,1,0,0,84491,48
Offenbach,Bachelors,Clerical,F,M,1,0,1,2,84228,61
Lakewood,Partial College,Management,F,M,1,2,0,0,102030,29
High Wycombe,Bachelors,Professional,M,M,1,3,2,2,132813,43
Port Orchard,Graduate Degree,Management,F,M,1,2,0,2,103033,68
Newcastle,Graduate Degree,Manual,M,S,0,1,0,0,30989,35
Daly City,Partial College,Skilled Manual,F,M,1,2,0,2,58408,42
Metchosin,Graduate Degree,Professional,F,M,1,2,0,0,130551,38
Warrnambool,Graduate Degree,Professional,M,S,1,2,0,0,135392,39
Concord,Bachelors,Management,F,S,0,2,0,0,108948,36
Bremerton,Partial College,Clerical,M,M,1,2,1,2,84780,47
Milsons Point,Partial College,Clerical,F,S,1,1,1,1,86599,59
Rhodes,Partial College,Skilled Manual,M,S,1,1,1,1,53815,57
East Brisbane,Partial College,Clerical,M,M,1,1,1,2,83653,43
Burien,Bachelors,Manual,M,M,0,1,1,2,28425,40
Versailles,Partial College,Management,F,S,0,1,0,0,103185,32
Frankfurt,Partial College,Manual,M,S,0,1,0,0,33815,38
Lake Oswego,Graduate Degree,Manual,F,M,0,0,1,1,28009,33
Coronado,Partial High School,Skilled Manual,F,M,1,1,2,2,58519,51
Warrington,Partial College,Clerical,M,M,1,1,1,1,81667,38
Malabar,Bachelors,Professional,F,S,1,2,0,1,129628,64
San Diego,Partial College,Manual,F,S,0,0,0,0,35443,27
Hawthorne,Bachelors,Management,F,M,0,3,0,0,112886,26
Werne,Partial College,Manual,F,S,0,0,0,0,28525,35
Melbourne,Bachelors,Professional,M,S,0,3,0,0,138302,32
Oakland,Graduate Degree,Professional,M,M,1,1,0,1,132120,39
Sydney,Bachelors,Professional,M,M,1,2,2,3,131406,67
Sydney,Partial College,Manual,M,S,0,0,0,0,35012,44
Coronado,Graduate Degree,Manual,M,M,0,1,0,1,29323,33
Bracknell,Partial College,Skilled Manual,F,S,1,1,0,0,59029,53
West Covina,Bachelors,Skilled Manual,M,M,1,1,1,1,55804,41
Bellingham,Partial College,Clerical,M,M,1,2,0,2,80934,72
Long Beach,Partial College,Skilled Manual,F,M,1,1,1,2,54849,47
Marysville,Graduate Degree,Professional,M,S,1,2,0,0,135477,39
Townsville,High School,Manual,F,S,0,0,0,0,29369,26
Seattle,Bachelors,Manual,F,M,0,0,1,2,34572,41
El Cajon,High School,Manual,M,M,1,1,0,2,30920,53
Cranbourne,Bachelors,Manual,M,M,0,0,1,2,28088,37
Long Beach,Partial College,Skilled Manual,M,M,1,2,1,2,53224,55
San Carlos,Bachelors,Manual,F,S,1,1,0,1,34012,61
Melton,Bachelors,Clerical,F,M,1,3,0,2,78281,40
Vancouver,High School,Manual,F,S,0,1,0,0,25840,30
Coronado,High School,Skilled Manual,M,S,0,2,0,0,58509,29
Beverly Hills,Partial College,Manual,M,S,0,0,0,0,33547,33
Bellflower,Partial College,Clerical,F,S,1,2,0,0,77452,49
Newton,Bachelors,Management,F,M,1,2,0,3,103483,60
West Covina,High School,Manual,F,S,0,1,0,0,35930,48
Stoke-on-Trent,Graduate Degree,Clerical,M,M,1,0,0,1,85002,46
Saint-Denis,Bachelors,Professional,M,S,1,2,0,0,133538,44
Colma,Graduate Degree,Skilled Manual,F,S,1,1,0,0,61232,49
Colma,Partial College,Clerical,M,M,1,1,0,1,78021,42
London,High School,Skilled Manual,M,M,0,2,0,1,54604,35
La Jolla,Bachelors,Skilled Manual,F,S,1,2,1,1,55146,79
Stuttgart,Partial High School,Manual,M,S,0,0,0,0,32004,33
Sooke,Bachelors,Management,M,M,1,1,1,2,112691,43
Springwood,Bachelors,Skilled Manual,M,M,1,2,0,2,56550,47
Warrington,High School,Clerical,F,M,1,1,0,1,82989,49
Berks,High School,Manual,F,M,1,0,0,2,27970,49
Woodland Hills,High School,Skilled Manual,M,M,1,2,0,2,60319,48
Haney,Graduate Degree,Clerical,F,M,1,2,0,1,81370,34
Beaverton,Graduate Degree,Skilled Manual,M,M,1,2,2,2,55098,39
Shawnee,High School,Clerical,F,S,1,3,0,1,79050,81
Berkeley,Partial College,Manual,F,S,0,0,0,0,26820,29
Issaquah,High School,Manual,F,S,0,1,0,0,35705,28
Townsville,High School,Manual,F,M,1,1,1,2,31750,48
Bremerton,Graduate Degree,Management,M,S,0,2,0,0,111479,30
Melton,High School,Clerical,M,S,1,2,0,1,79949,57
Frankfurt,Bachelors,Skilled Manual,M,M,1,1,2,2,59436,45
Marysville,Partial College,Management,M,M,1,1,0,2,111507,58
Hamburg,Partial College,Management,M,M,1,3,1,1,102323,49
Cranbourne,High School,Clerical,F,S,0,2,0,0,76589,29
Gold Coast,Partial College,Clerical,F,S,1,2,0,0,83746,44
Coronado,Bachelors,Management,F,M,1,0,0,1,104451,35
East Brisbane,High School,Skilled Manual,M,S,0,1,0,0,58004,34
Beaverton,Bachelors,Clerical,M,S,0,1,0,0,78365,38
Berlin,Partial College,Manual,F,S,0,0,0,0,25730,50
Paris,Bachelors,Management,F,M,1,1,0,2,112854,37
Frankfurt am Main,High School,Clerical,F,S,0,2,0,0,79873,29
Long Beach,Partial College,Skilled Manual,F,S,1,1,0,0,59532,52
Hervey Bay,High School,Manual,M,S,0,1,0,0,36260,28
Lake Oswego,Partial College,Skilled Manual,F,M,0,1,0,0,61226,29
Grossmont,Graduate Degree,Management,F,M,1,2,0,0,111097,34
Springwood,Graduate Degree,Manual,M,M,1,1,1,2,35582,62
London,Bachelors,Management,M,M,1,1,1,2,113141,41
Hervey Bay,High School,Clerical,M,M,0,1,0,0,85864,28
Bonn,High School,Skilled Manual,M,S,1,1,0,0,62075,53
Wollongong,Bachelors,Skilled Manual,F,S,0,1,0,0,53511,34
Melbourne,Bachelors,Clerical,M,S,0,1,0,0,83808,30
South Melbourne,Bachelors,Skilled Manual,F,S,0,1,0,0,60367,39
National City,Partial College,Management,F,S,1,1,0,0,107564,49
Tremblay-en-France,Bachelors,Clerical,M,S,1,2,0,0,79732,52
Brisbane,Bachelors,Manual,M,M,0,0,0,0,26898,28
Cranbourne,Partial College,Clerical,F,M,1,2,1,2,78216,45
Walla Walla,Graduate Degree,Manual,F,S,0,1,0,0,29606,36
San Diego,Graduate Degree,Clerical,M,S,1,0,0,0,87018,51
Bracknell,Partial College,Skilled Manual,M,S,0,2,0,0,51710,28
Geelong,Bachelors,Skilled Manual,M,S,0,1,0,0,60328,28
Findon,Partial High School,Skilled Manual,F,M,0,1,0,0,58066,31
Puyallup,Graduate Degree,Skilled Manual,M,M,0,2,0,1,61230,36
Townsville,Partial College,Management,F,S,1,1,0,0,111348,51
Beaverton,Partial High School,Skilled Manual,M,S,0,1,0,0,52604,28
National City,High School,Skilled Manual,F,M,1,1,0,2,59309,47
Everett,Graduate Degree,Skilled Manual,F,S,0,2,0,0,56078,38
Frankfurt am Main,Bachelors,Clerical,F,M,1,1,1,1,77466,43
Paris,Partial College,Skilled Manual,F,S,0,1,0,0,58578,44
Colma,High School,Clerical,F,S,0,1,0,0,84175,37
Cliffside,Bachelors,Professional,M,M,1,2,2,2,129893,42
Beverly Hills,High School,Clerical,F,M,1,1,1,2,78442,49
High Wycombe,Bachelors,Manual,M,M,0,1,0,0,34033,31
Yakima,Partial College,Management,M,S,1,1,0,0,112717,53
Dunkerque,Partial College,Clerical,F,M,1,2,0,1,81258,37
Rockhampton,Bachelors,Professional,F,M,1,1,0,0,133887,29
Issaquah,Bachelors,Management,M,M,1,1,0,1,108917,33
Beverly Hills,Partial College,Management,F,M,1,1,1,2,106120,53
West Covina,Graduate Degree,Professional,F,M,1,1,1,2,135572,69
Milsons Point,Partial College,Clerical,M,S,1,0,0,0,84228,50
Seattle,High School,Clerical,F,M,0,1,0,0,77711,30
Bobigny,Partial High School,Skilled Manual,M,S,1,1,0,0,56546,57
Victoria,Bachelors,Professional,F,M,1,0,1,1,132020,36
Lancaster,Bachelors,Clerical,M,M,1,0,0,2,79667,42
Everett,Partial College,Manual,F,S,1,0,0,0,29091,55
N. Vancouver,Partial College,Clerical,F,M,1,1,0,2,84223,46
West Covina,Bachelors,Professional,M,M,1,2,2,2,131240,63
Concord,Bachelors,Clerical,M,S,0,2,0,0,81532,38
Salem,High School,Skilled Manual,M,M,1,1,1,2,54703,44
Grossmont,Graduate Degree,Management,F,S,1,3,0,0,104312,52
Grossmont,Partial College,Manual,M,S,0,1,0,0,31752,46
Poing,Partial College,Management,F,S,0,3,0,0,109848,37
London,Graduate Degree,Skilled Manual,M,S,0,1,0,0,51764,46
Chatou,High School,Skilled Manual,M,S,0,2,0,0,61917,29
Burien,Graduate Degree,Professional,M,S,1,2,0,0,138876,33
Berks,Partial College,Management,M,S,0,1,0,0,111811,27
Fremont,Graduate Degree,Professional,M,M,1,3,0,0,128735,47
Westminster,Graduate Degree,Management,M,M,1,0,1,2,108381,33
Burien,High School,Skilled Manual,F,M,1,1,0,2,58642,56
London,Bachelors,Clerical,M,M,0,1,0,0,85879,30
Sydney,Graduate Degree,Professional,M,S,1,1,0,0,138427,38
Werne,Partial College,Manual,M,S,0,1,0,0,33792,28
Paris,Bachelors,Clerical,M,S,0,2,0,0,78851,39
Runcorn,Bachelors,Manual,F,M,0,0,0,1,27079,41
Spring Valley,Partial College,Skilled Manual,M,S,0,0,0,0,56203,45
Palo Alto,High School,Clerical,M,S,1,1,0,0,84269,43
Perth,Bachelors,Clerical,F,S,0,2,0,0,87232,32
Beverly Hills,Partial High School,Manual,F,S,0,1,0,0,35145,28
Rhodes,Partial College,Management,F,M,1,2,2,2,107853,58
Wokingham,High School,Skilled Manual,M,S,0,0,0,0,60757,41
Bremerton,Partial High School,Skilled Manual,M,S,1,1,0,0,57156,51
Royal Oak,Partial High School,Skilled Manual,M,S,0,0,0,0,53618,26
Roissy en Brie,High School,Skilled Manual,M,S,0,0,0,0,62081,33
Seattle,Bachelors,Clerical,M,M,1,1,1,2,86136,60
Burlingame,Graduate Degree,Clerical,M,M,1,1,1,2,86023,35
Beverly Hills,Partial College,Manual,M,S,0,0,0,0,29627,42
Silverwater,Bachelors,Clerical,M,S,0,2,0,0,78802,29
Burien,Partial College,Manual,M,M,1,1,0,2,36093,53
Lebanon,High School,Manual,M,M,1,0,1,2,27469,44
Dresden,Bachelors,Manual,F,S,0,1,0,0,35876,46
Port Macquarie,Bachelors,Manual,F,M,0,0,0,0,30457,29
Les Ulis,Partial College,Skilled Manual,F,S,0,1,0,0,53353,44
W. Linn,Partial College,Clerical,F,M,1,2,1,2,86203,45
Ballard,Graduate Degree,Skilled Manual,F,M,0,1,0,1,55746,34
Dunkerque,High School,Manual,F,S,1,1,0,1,31072,60
Chula Vista,Partial High School,Skilled Manual,F,S,0,1,0,0,54764,25
Suresnes,Graduate Degree,Professional,M,S,1,2,0,0,136942,36
Melton,Bachelors,Skilled Manual,M,M,1,2,2,2,59020,43
Olympia,Partial College,Management,M,S,0,1,0,0,111805,28
Yakima,High School,Clerical,F,M,1,2,0,1,82726,48
Royal Oak,Partial High School,Skilled Manual,M,M,1,1,0,1,61245,48
Sooke,High School,Manual,F,M,1,1,1,2,36099,49
Yakima,Partial College,Skilled Manual,F,M,1,1,1,1,60125,44
Newport Beach,Bachelors,Professional,M,S,1,3,0,0,130137,37
Vancouver,Graduate Degree,Skilled Manual,M,M,0,2,2,2,62219,34
Burlingame,Bachelors,Manual,M,M,1,1,0,2,27795,61
Port Hammond,Graduate Degree,Manual,M,M,0,1,0,0,27173,32
St. Leonards,Partial College,Skilled Manual,M,M,1,2,0,3,53858,59
Geelong,Bachelors,Clerical,M,S,0,2,0,0,84830,40
Westminster,Partial High School,Manual,M,M,1,0,1,2,32914,47
Bremerton,Partial College,Manual,M,S,0,1,0,0,32122,30
Westminster,Partial College,Skilled Manual,F,M,1,2,0,2,58977,49
Lincoln Acres,Graduate Degree,Skilled Manual,M,S,0,0,0,0,53672,37
Lakewood,Partial College,Clerical,F,S,0,3,0,0,82215,42
Ingolstadt,Partial College,Skilled Manual,F,S,0,0,0,0,55470,30
Concord,Graduate Degree,Skilled Manual,F,M,1,1,1,2,54755,70
Cliffside,Partial High School,Skilled Manual,F,S,0,0,0,0,54469,28
La Jolla,High School,Skilled Manual,F,M,0,0,0,0,55856,29
Paderborn,Partial College,Manual,M,S,0,0,0,0,27913,27
Langford,High School,Skilled Manual,F,S,1,1,0,0,59369,49
Victoria,Graduate Degree,Professional,M,M,1,2,1,2,131506,35
Darlinghurst,Bachelors,Skilled Manual,M,S,0,0,0,0,53733,42
Berlin,Partial College,Skilled Manual,F,S,0,1,0,0,54214,28
Langford,Partial College,Skilled Manual,M,M,1,1,1,2,59071,44
El Cajon,Bachelors,Skilled Manual,F,S,1,1,1,1,51000,59
Hof,Partial College,Skilled Manual,F,S,0,1,0,0,55733,32
Olympia,High School,Skilled Manual,F,S,0,1,0,0,56498,29
Bellingham,Partial College,Skilled Manual,M,M,1,1,1,2,58622,53
Hobart,Bachelors,Clerical,M,M,1,2,1,2,79298,33
Bellingham,Graduate Degree,Manual,M,M,1,1,1,2,34502,69
Berks,Partial High School,Manual,M,M,0,1,0,1,33858,34
Concord,Partial College,Skilled Manual,F,M,1,1,1,2,54782,55
East Brisbane,Bachelors,Professional,M,M,1,1,0,1,128902,37
Salem,Bachelors,Skilled Manual,M,M,1,2,0,2,54555,65
East Brisbane,Partial College,Clerical,F,S,0,1,0,0,85484,24
Ingolstadt,High School,Skilled Manual,F,M,1,2,1,2,55550,49
Beverly Hills,High School,Clerical,F,M,1,3,0,2,83713,53
Colma,Graduate Degree,Clerical,M,M,1,1,0,2,87076,33
Spring Valley,Bachelors,Professional,M,S,1,2,0,0,137293,38
Warrnambool,Partial College,Management,M,M,1,1,1,2,104092,42
Fremont,Graduate Degree,Clerical,M,M,1,2,1,1,85766,36
York,High School,Skilled Manual,M,M,1,0,1,1,53782,49
Coronado,Bachelors,Manual,F,M,1,1,1,2,27118,70
Everett,Partial College,Clerical,M,M,1,1,2,2,78196,54
Oakland,Partial College,Management,F,M,1,2,1,1,104668,44
Palo Alto,Bachelors,Clerical,F,S,1,0,1,1,78681,61
Versailles,Graduate Degree,Management,M,S,1,2,0,1,112251,69
Sydney,Bachelors,Management,F,S,0,2,0,0,106663,30
Bury,Partial College,Skilled Manual,F,M,1,1,1,2,50881,45
Versailles,Partial College,Clerical,F,M,1,0,1,2,87250,41
München,Graduate Degree,Manual,F,M,1,1,1,2,26524,44
Beaverton,Graduate Degree,Professional,M,S,1,0,0,0,129901,39
Ballard,Graduate Degree,Skilled Manual,M,M,0,1,0,1,54615,35
Bury,Graduate Degree,Management,M,M,1,1,2,2,110434,44
London,Graduate Degree,Clerical,M,S,1,2,0,0,83182,44
Braunschweig,Partial College,Manual,M,M,1,1,1,2,32781,56
Braunschweig,High School,Clerical,M,M,1,0,0,3,87617,79
Chatou,Partial High School,Manual,F,S,0,1,0,0,33522,24
Berlin,Partial College,Management,M,S,0,1,0,0,109528,35
Berlin,Bachelors,Professional,M,M,1,4,0,1,131103,38
Novato,Bachelors,Management,M,M,1,0,1,2,107495,48
Neunkirchen,Partial College,Clerical,F,M,1,2,1,2,77685,52
Oxford,Partial College,Clerical,M,M,1,2,1,1,78197,36
Bracknell,Partial College,Management,M,S,1,1,0,0,102817,50
Berlin,Partial College,Clerical,M,M,1,0,2,2,77271,46
Paris,Partial College,Clerical,M,M,0,1,0,0,77741,28
Portland,Partial College,Skilled Manual,M,S,0,1,0,0,60273,27
London,Partial College,Clerical,F,S,0,2,0,0,86024,25
Long Beach,High School,Skilled Manual,M,M,1,1,1,2,52116,48
Cliffside,Graduate Degree,Clerical,F,M,1,2,0,2,85024,67
Birmingham,High School,Skilled Manual,M,M,1,1,1,2,51225,54
Fremont,High School,Manual,M,M,1,0,1,2,29658,45
Bremerton,Partial College,Manual,M,S,0,1,0,0,36448,27
Warrnambool,Bachelors,Manual,M,M,1,1,0,1,30935,47
Bonn,Partial College,Manual,M,M,1,1,1,1,26752,48
Warrington,Bachelors,Manual,M,M,0,1,0,1,28359,39
Cloverdale,Partial High School,Skilled Manual,M,M,0,1,0,2,56018,33
Pantin,Bachelors,Clerical,F,M,1,1,1,1,81155,39
Issaquah,Partial College,Clerical,F,M,1,3,1,2,83725,54
Torrance,Partial College,Clerical,F,S,1,1,1,1,77273,58
Burbank,Bachelors,Clerical,M,M,1,1,1,1,87126,42
Sulzbach Taunus,Partial High School,Manual,F,S,0,0,0,0,31119,30
Brisbane,Bachelors,Clerical,M,S,1,1,0,1,81968,79
München,Bachelors,Skilled Manual,F,M,1,2,0,2,52824,42
Hobart,High School,Skilled Manual,F,S,1,1,0,0,59033,49
Melton,Partial College,Clerical,M,S,1,0,0,0,86779,47
Burien,Partial College,Manual,F,M,1,1,0,2,27933,42
Courbevoie,Graduate Degree,Professional,F,M,1,0,1,1,131483,42
Berkeley,Graduate Degree,Management,M,S,1,2,0,0,106932,38
Bremerton,High School,Manual,M,M,1,0,0,2,29527,52
Redmond,Partial College,Management,F,S,0,2,0,0,104198,28
Royal Oak,Bachelors,Manual,F,S,1,0,1,1,31098,64
Torrance,Partial College,Clerical,F,S,0,1,0,0,86397,26
Redmond,Partial College,Clerical,F,M,1,2,0,2,85270,51
Lincoln Acres,Graduate Degree,Skilled Manual,F,S,0,1,0,0,52909,39
Lille,Bachelors,Management,F,S,0,2,0,0,102283,34
Los Angeles,Partial College,Clerical,F,M,1,2,1,2,78553,44
Versailles,Partial College,Skilled Manual,F,M,1,2,0,2,55093,49
Westminster,Partial College,Clerical,M,S,0,2,0,0,85583,29
Lane Cove,Bachelors,Manual,F,S,0,0,0,0,35424,39
Santa Monica,Bachelors,Clerical,F,M,1,0,1,2,81271,61
Stuttgart,High School,Clerical,M,S,0,2,0,0,82898,33
Melbourne,Bachelors,Skilled Manual,M,M,1,1,0,3,56801,62
Kirkby,High School,Manual,M,S,1,1,0,0,33862,56
Lemon Grove,Bachelors,Skilled Manual,M,S,0,0,0,0,58587,40
Santa Cruz,Graduate Degree,Clerical,F,M,1,1,0,2,86476,40
Saarbrücken,High School,Skilled Manual,F,M,1,1,1,2,51028,42
Melbourne,Bachelors,Clerical,F,M,1,1,0,2,82504,42
Long Beach,Bachelors,Management,M,M,1,2,0,0,108867,36
Rockhampton,Bachelors,Skilled Manual,M,M,1,0,1,1,51825,41
Daly City,Partial College,Clerical,M,S,1,2,0,0,78242,54
Malabar,High School,Manual,F,M,0,1,0,0,29976,31
Hobart,Bachelors,Skilled Manual,F,M,1,0,1,2,54523,66
Cliffside,Partial High School,Manual,F,M,1,0,0,2,27678,51
West Covina,Partial College,Management,F,M,1,2,0,1,109850,46
Oregon City,Graduate Degree,Management,M,M,1,2,0,0,106262,49
Malabar,Partial College,Skilled Manual,F,S,0,1,0,0,58315,44
Goulburn,Partial College,Skilled Manual,M,S,1,1,0,1,61043,59
Esher-Molesey,Partial College,Clerical,F,M,1,3,1,1,77162,52
Palo Alto,Bachelors,Management,M,M,1,3,0,2,112615,40
Concord,Partial College,Clerical,M,M,0,1,0,0,79206,27
San Diego,High School,Skilled Manual,F,M,1,1,1,2,61082,49
Newton,Graduate Degree,Management,M,M,1,1,0,2,111990,52
Bellingham,Partial College,Skilled Manual,F,S,1,1,0,0,51606,56
Langford,Partial High School,Manual,F,M,1,1,2,2,28878,55
Paderborn,Bachelors,Skilled Manual,M,M,1,1,1,2,59001,47
Rockhampton,Bachelors,Management,M,S,1,2,0,0,104412,47
North Ryde,Bachelors,Manual,M,S,0,0,0,0,34220,33
Woodburn,Graduate Degree,Skilled Manual,F,S,0,1,0,0,51828,34
Geelong,Partial College,Management,M,M,1,2,0,2,107566,45
Lincoln Acres,Partial College,Management,M,M,1,2,1,1,112767,50
Roubaix,Partial College,Skilled Manual,M,M,1,2,1,1,52433,43
Berkeley,Bachelors,Skilled Manual,M,M,1,1,2,2,59053,58
Oxford,Partial College,Skilled Manual,M,S,0,1,0,0,51596,29
Berlin,High School,Manual,M,S,0,1,0,0,36480,35
Hawthorne,Partial College,Skilled Manual,M,M,0,2,0,0,54279,26
Cloverdale,Bachelors,Management,F,M,1,3,0,0,109999,40
Paris,Partial College,Management,F,S,0,1,0,0,106100,30
Newcastle,Partial College,Management,F,M,1,2,2,2,102744,52
Burien,High School,Clerical,M,M,0,2,0,0,76938,28
Paris,High School,Manual,F,S,0,1,0,0,29814,29
Palo Alto,Graduate Degree,Professional,M,M,1,0,0,2,134695,72
Milsons Point,Bachelors,Manual,M,M,0,1,0,0,37244,27
Imperial Beach,Bachelors,Skilled Manual,F,M,1,1,1,1,53968,38
Colombes,Partial College,Management,M,M,1,2,2,2,107250,62
Mill Valley,Partial High School,Skilled Manual,F,S,1,2,0,0,52217,49
Santa Monica,Partial College,Manual,M,M,1,1,2,2,26568,56
Tacoma,Partial College,Clerical,M,M,0,3,0,0,77165,31
Rhodes,Bachelors,Skilled Manual,F,S,0,1,0,0,51719,42
Spring Valley,Graduate Degree,Management,M,M,1,1,0,1,104516,34
London,Partial College,Manual,M,M,1,1,0,1,29090,51
Milsons Point,Bachelors,Clerical,F,S,1,2,0,0,86677,47
National City,Partial College,Management,F,M,1,3,1,1,112583,51
Newport Beach,Partial High School,Skilled Manual,F,S,1,1,0,0,58616,50
Cliffside,Partial College,Clerical,M,M,0,2,0,0,79555,32
Stoke-on-Trent,Bachelors,Skilled Manual,F,M,1,1,1,2,56941,42
Long Beach,Bachelors,Manual,M,M,1,0,0,2,29083,44
Victoria,High School,Skilled Manual,M,S,0,1,0,0,56965,24
Hamburg,Partial College,Manual,M,S,0,0,0,0,37034,45
